Coach,Tm,Seasons_Franchise,Seasons_Overall,Reg_Current_G,Reg_Current_W,Reg_Current_L,Reg_Franchise_G,Reg_Franchise_W,Reg_Franchise_L,Reg_Overall_G,Reg_Overall_W,Reg_Overall_L,Reg_Overall_W%,Playoffs_Current_G,Playoffs_Current_W,Playoffs_Current_L,Playoffs_Franchise_G,Playoffs_Franchise_W,Playoffs_Franchise_L,Playoffs_Overall_G,Playoffs_Overall_W,Playoffs_Overall_L
Quin Snyder,ATL,3,11,82,40,42,185,86,99,821,458,363,0.558,,,,6.0,2.0,4.0,57.0,23.0,34.0
Joe Mazzulla,BOS,3,3,82,61,21,246,182,64,246,182,64,0.74,11.0,6.0,5.0,50.0,33.0,17.0,50.0,33.0,17.0
Jordi Fernandez,BRK,1,1,82,26,56,82,26,56,82,26,56,0.317,,,,,,,,,
Billy Donovan,CHI,5,10,82,39,43,400,195,205,800,438,362,0.548,,,,5.0,1.0,4.0,46.0,19.0,27.0
Charles Lee,CHO,1,1,82,19,63,82,19,63,82,19,63,0.232,,,,,,,,,
Kenny Atkinson,CLE,1,5,82,64,18,82,64,18,390,182,208,0.467,9.0,5.0,4.0,9.0,5.0,4.0,14.0,6.0,8.0
Jason Kidd,DAL,4,9,82,39,43,328,179,149,701,362,339,0.516,,,,40.0,22.0,18.0,64.0,31.0,33.0
Michael Malone,DEN,10,12,79,47,32,798,471,327,904,510,394,0.564,,,,80.0,44.0,36.0,80.0,44.0,36.0
David Adelman,DEN,1,1,3,3,0,3,3,0,3,3,0,1.0,14.0,7.0,7.0,14.0,7.0,7.0,14.0,7.0,7.0
J.B. Bickerstaff,DET,1,9,82,44,38,82,44,38,627,299,328,0.477,6.0,2.0,4.0,6.0,2.0,4.0,28.0,9.0,19.0
Steve Kerr,GSW,11,11,82,48,34,875,567,308,875,567,308,0.648,12.0,5.0,7.0,152.0,104.0,48.0,152.0,104.0,48.0
Ime Udoka,HOU,2,3,82,52,30,164,93,71,246,144,102,0.585,7.0,3.0,4.0,7.0,3.0,4.0,31.0,17.0,14.0
Rick Carlisle,IND,8,23,82,50,32,656,338,318,1853,993,860,0.536,23.0,15.0,8.0,75.0,41.0,34.0,173.0,86.0,87.0
Tyronn Lue,LAC,5,9,82,50,32,400,234,166,611,362,249,0.592,7.0,3.0,4.0,37.0,16.0,21.0,98.0,57.0,41.0
JJ Redick,LAL,1,1,82,50,32,82,50,32,82,50,32,0.61,5.0,1.0,4.0,5.0,1.0,4.0,5.0,1.0,4.0
Taylor Jenkins,MEM,6,6,73,44,29,464,250,214,464,250,214,0.539,,,,23.0,9.0,14.0,23.0,9.0,14.0
Tuomas Iisalo,MEM,1,1,9,4,5,9,4,5,9,4,5,0.444,4.0,0.0,4.0,4.0,0.0,4.0,4.0,0.0,4.0
Erik Spoelstra,MIA,17,17,82,37,45,1359,787,572,1359,787,572,0.579,4.0,0.0,4.0,193.0,110.0,83.0,193.0,110.0,83.0
Doc Rivers,MIL,2,26,82,48,34,118,65,53,1978,1162,816,0.587,5.0,1.0,4.0,11.0,3.0,8.0,226.0,114.0,112.0
Chris Finch,MIN,5,5,82,49,33,369,209,160,369,209,160,0.566,15.0,9.0,6.0,42.0,21.0,21.0,42.0,21.0,21.0
Willie Green,NOP,4,4,82,21,61,328,148,180,328,148,180,0.451,,,,10.0,2.0,8.0,10.0,2.0,8.0
Tom Thibodeau,NYK,5,13,82,51,31,400,226,174,998,578,420,0.579,18.0,10.0,8.0,47.0,24.0,23.0,103.0,48.0,55.0
Mark Daigneault,OKC,5,5,82,68,14,400,211,189,400,211,189,0.528,23.0,16.0,7.0,33.0,22.0,11.0,33.0,22.0,11.0
Jamahl Mosley,ORL,4,4,82,41,41,328,144,184,328,144,184,0.439,5.0,1.0,4.0,12.0,4.0,8.0,12.0,4.0,8.0
Nick Nurse,PHI,2,7,82,24,58,164,71,93,554,298,256,0.538,,,,6.0,2.0,4.0,47.0,27.0,20.0
Mike Budenholzer,PHO,1,11,82,36,46,82,36,46,883,520,363,0.589,,,,,,,104.0,56.0,48.0
Chauncey Billups,POR,4,4,82,36,46,328,117,211,328,117,211,0.357,,,,,,,,,
Mike Brown,SAC,3,11,31,13,18,195,107,88,758,454,304,0.599,,,,7.0,3.0,4.0,90.0,50.0,40.0
Doug Christie,SAC,1,1,51,27,24,51,27,24,51,27,24,0.529,,,,,,,,,
Gregg Popovich,SAS,29,29,5,2,3,2214,1390,824,2214,1390,824,0.628,,,,284.0,170.0,114.0,284.0,170.0,114.0
Mitch Johnson,SAS,1,1,77,32,45,77,32,45,77,32,45,0.416,,,,,,,,,
Darko Rajakovic,TOR,2,2,82,30,52,164,55,109,164,55,109,0.335,,,,,,,,,
Will Hardy,UTA,3,3,82,17,65,246,85,161,246,85,161,0.346,,,,,,,,,
Brian Keefe,WAS,2,2,82,18,64,121,26,95,121,26,95,0.215,,,,,,,,,
