CoachID,Coach,Team_id,Seasons_Franchise,Seasons_Overall,Reg_Current_G,Reg_Current_W,Reg_Current_L,Reg_Franchise_G,Reg_Franchise_W,Reg_Franchise_L,Reg_Overall_G,Reg_Overall_W,Reg_Overall_L,Playoffs_Current_G,Playoffs_Current_W,Playoffs_Current_L,Playoffs_Franchise_G,Playoffs_Franchise_W,Playoffs_Franchise_L,Playoffs_Overall_G,Playoffs_Overall_W,Playoffs_Overall_L
1,Quin Snyder,1610612737,3,11,82,40,42,185,86,99,821,458,363,0,0,0,6,2,4,57,23,34
2,Joe Mazzulla,1610612738,3,3,82,61,21,246,182,64,246,182,64,11,6,5,50,33,17,50,33,17
3,Jordi Fernandez,1610612751,1,1,82,26,56,82,26,56,82,26,56,0,0,0,0,0,0,0,0,0
4,Billy Donovan,1610612741,5,10,82,39,43,400,195,205,800,438,362,0,0,0,5,1,4,46,19,27
5,Charles Lee,1610612766,1,1,82,19,63,82,19,63,82,19,63,0,0,0,0,0,0,0,0,0
6,Kenny Atkinson,1610612739,1,5,82,64,18,82,64,18,390,182,208,9,5,4,9,5,4,14,6,8
7,Jason Kidd,1610612742,4,9,82,39,43,328,179,149,701,362,339,0,0,0,40,22,18,64,31,33
8,Michael Malone,1610612743,10,12,79,47,32,798,471,327,904,510,394,0,0,0,80,44,36,80,44,36
9,David Adelman,1610612743,1,1,3,3,0,3,3,0,3,3,0,14,7,7,14,7,7,14,7,7
10,J.B. Bickerstaff,1610612765,1,9,82,44,38,82,44,38,627,299,328,6,2,4,6,2,4,28,9,19
11,Steve Kerr,1610612744,11,11,82,48,34,875,567,308,875,567,308,12,5,7,152,104,48,152,104,48
12,Ime Udoka,1610612745,2,3,82,52,30,164,93,71,246,144,102,7,3,4,7,3,4,31,17,14
13,Rick Carlisle,1610612754,8,23,82,50,32,656,338,318,1853,993,860,23,15,8,75,41,34,173,86,87
14,Tyronn Lue,1610612746,5,9,82,50,32,400,234,166,611,362,249,7,3,4,37,16,21,98,57,41
15,JJ Redick,1610612747,1,1,82,50,32,82,50,32,82,50,32,5,1,4,5,1,4,5,1,4
16,Taylor Jenkins,1610612763,6,6,73,44,29,464,250,214,464,250,214,0,0,0,23,9,14,23,9,14
17,Tuomas Iisalo,1610612763,1,1,9,4,5,9,4,5,9,4,5,4,0,4,4,0,4,4,0,4
18,Erik Spoelstra,1610612748,17,17,82,37,45,1359,787,572,1359,787,572,4,0,4,193,110,83,193,110,83
19,Doc Rivers,1610612749,2,26,82,48,34,118,65,53,1978,1162,816,5,1,4,11,3,8,226,114,112
20,Chris Finch,1610612750,5,5,82,49,33,369,209,160,369,209,160,15,9,6,42,21,21,42,21,21
21,Willie Green,1610612740,4,4,82,21,61,328,148,180,328,148,180,0,0,0,10,2,8,10,2,8
22,Tom Thibodeau,1610612752,5,13,82,51,31,400,226,174,998,578,420,18,10,8,47,24,23,103,48,55
23,Mark Daigneault,1610612760,5,5,82,68,14,400,211,189,400,211,189,23,16,7,33,22,11,33,22,11
24,Jamahl Mosley,1610612753,4,4,82,41,41,328,144,184,328,144,184,5,1,4,12,4,8,12,4,8
25,Nick Nurse,1610612755,2,7,82,24,58,164,71,93,554,298,256,0,0,0,6,2,4,47,27,20
26,Mike Budenholzer,1610612756,1,11,82,36,46,82,36,46,883,520,363,0,0,0,0,0,0,104,56,48
27,Chauncey Billups,1610612757,4,4,82,36,46,328,117,211,328,117,211,0,0,0,0,0,0,0,0,0
28,Mike Brown,1610612758,3,11,31,13,18,195,107,88,758,454,304,0,0,0,7,3,4,90,50,40
29,Doug Christie,1610612758,1,1,51,27,24,51,27,24,51,27,24,0,0,0,0,0,0,0,0,0
30,Gregg Popovich,1610612759,29,29,5,2,3,2214,1390,824,2214,1390,824,0,0,0,284,170,114,284,170,114
31,Mitch Johnson,1610612759,1,1,77,32,45,77,32,45,77,32,45,0,0,0,0,0,0,0,0,0
32,Darko Rajakovic,1610612761,2,2,82,30,52,164,55,109,164,55,109,0,0,0,0,0,0,0,0,0
33,Will Hardy,1610612762,3,3,82,17,65,246,85,161,246,85,161,0,0,0,0,0,0,0,0,0
34,Brian Keefe,1610612764,2,2,82,18,64,121,26,95,121,26,95,0,0,0,0,0,0,0,0,0
