person_id,birthdate,school,country,height,weight,season_exp,position,rosterstatus,from_year,to_year
76001,1968-06-24 0:00,Duke,USA,6-10,240,5,Forward,Inactive,1990,1994
76003,1947-04-16 0:00,UCLA,USA,7-2,225,20,Center,Inactive,1969,1988
1505,1974-11-03 0:00,San Jose State,France,6-6,235,7,Forward-Guard,Inactive,1997,2003
949,1976-12-11 0:00,California,USA,6-9,245,13,Forward,Inactive,1996,2007
76005,1954-05-06 0:00,Indiana,USA,6-7,220,5,Forward,Inactive,1976,1980
76006,1932-07-27 0:00,Western Kentucky,USA,6-3,180,1,Guard,Inactive,1956,1956
76007,1919-02-09 0:00,Salem,USA,6-3,195,2,Forward,Inactive,1946,1947
203518,1993-08-01 0:00,FC Barcelona,Spain,6-6,200,3,Guard,Inactive,2016,2018
1630173,1999-09-19 0:00,Memphis,Nigeria,6-8,225,3,Forward,Active,2020,2023
101165,1983-01-21 0:00,Pepperdine,USA,6-5,185,3,Guard,Inactive,2005,2008
76008,1930-09-04 0:00,Long Island-Brooklyn,USA,6-0,183,1,Guard,Inactive,1953,1953
76009,1962-11-15 0:00,Oral Roberts,USA,6-11,220,6,Center,Inactive,1987,1992
76010,1942-01-11 0:00,Hillsdale,USA,6-6,210,1,Forward,Inactive,1967,1967
203112,1990-10-06 0:00,Baylor,USA,6-7,240,7,Forward,Inactive,2012,2018
76011,1954-07-19 0:00,Oklahoma,USA,6-9,210,13,Center,Inactive,1975,1987
76012,1947-11-27 0:00,Northwestern,USA,6-7,210,7,Forward,Inactive,1970,1976
200801,1984-06-20 0:00,Arizona,USA,6-4,220,2,Forward,Inactive,2006,2008
1629121,1996-05-04 0:00,St. Bonaventure,USA,6-0,225,3,Guard,Inactive,2018,2020
203919,1994-07-08 0:00,UCLA,USA,6-5,209,3,Guard,Inactive,2014,2015
149,1963-01-19 0:00,Boston College,USA,5-10,165,11,Guard,Inactive,1985,1995
203500,1993-07-20 0:00,Pittsburgh,New Zealand,6-11,265,10,Center,Active,2013,2023
912,1964-07-22 0:00,Syracuse,USA,6-8,241,6,Forward,Inactive,1986,1996
1628389,1997-07-18 0:00,Kentucky,USA,6-9,255,6,Center-Forward,Active,2017,2023
1629061,1997-02-01 0:00,Louisville,South Sudan,6-7,200,2,Forward,Inactive,2018,2018
76015,1946-06-16 0:00,Loyola-Marymount,USA,6-2,175,7,Guard,Inactive,1968,1974
202399,1986-02-10 0:00,Connecticut,USA,NULL,NULL,6,NULL,Inactive,2010,2014
201167,1985-10-15 0:00,UCLA,USA,6-5,210,12,Guard,Inactive,2007,2017
1630534,2000-04-20 0:00,Kansas,USA,6-5,215,1,Guard,Active,2022,2023
200772,1984-02-09 0:00,Michigan State,USA,6-5,202,4,Forward-Guard,Inactive,2006,2010
76016,1959-12-10 0:00,DePaul,USA,6-6,232,13,Forward,Inactive,1981,1993
201336,1984-05-27 0:00,Missouri State,USA,6-2,190,4,Guard,Inactive,2007,2011
201582,1988-05-06 0:00,Hyeres-Toulon,France,7-2,248,8,Center,Inactive,2008,2017
76018,1944-07-31 0:00,Morehead State,USA,6-10,225,2,Center,Inactive,1966,1967
