season,player_id,first_name,last_name,player_name,position,height_wo_shoes,wingspan,standing reach,body fat pct,standing vertical leap,maximum vertical leap,lane agility time,three quarter sprint,bench press
2001,12033,Adam,Allenspach,Adam Allenspach,C,6' 11.5'',84.5,107,12.4,28.5,31,11.9,3.4,16
2001,2240,Gilbert,Arenas,Gilbert Arenas,SG,6' 2.25'',81.5,99.5,5.3,31.5,36,NULL,3.25,12
2001,2220,Brandon,Armstrong,Brandon Armstrong,SG,6' 3.5'',81.5,99.5,9.3,30,37,10.91,3.2,6
2001,2203,Shane,Battier,Shane Battier,SF-PF,6' 8.25'',82.5,105,9.3,29.5,33,10.95,3.3,12
2001,12034,Cookie,Belcher,Cookie Belcher,SG-PG,6' 3'',80.5,99,5.3,35,41.5,11.26,2.91,7
2001,2294,Charlie,Bell,Charlie Bell,PG,6' 2.5'',79.5,97.5,6.7,31.5,38,10.59,3.12,15
2001,2257,Ruben,Boumtje-Boumtje,Ruben Boumtje-Boumtje,C,6' 11.5'',88,111,6,26.5,31,11.84,3.33,6
2001,12035,Calvin,Bowman,Calvin Bowman,PF,6' 8.75'',83.5,104,8.6,28.5,34.5,11.96,3.21,7
2001,2214,Michael,Bradley,Michael Bradley,PF,6' 9.5'',85.5,107,9.3,27,30,11.11,3.35,13
2001,2249,Jamison,Brewer,Jamison Brewer,PG,6' 2.5'',80.75,102.5,6.7,26,32.5,9.65,3.15,12
2001,2198,Kwame,Brown,Kwame Brown,PF-C,6' 10'',85,108,8.9,30,33,11.59,3.45,17
2001,12031,SirValiant,Brown,SirValiant Brown,PG,5' 11'',76,92.5,6.7,31,39.5,11.23,3,10
2001,2245,Damone,Brown,Damone Brown,SF,6' 8.25'',83.75,104.5,6.7,32,37,11.81,3.27,6
2001,12032,Ryan,Carroll,Ryan Carroll,SF-SG,6' 4'',80.25,99,8,34.5,39,11,3.1,14
2001,2199,Tyson,Chandler,Tyson Chandler,SF-PF,6' 11.5'',87,110,6.7,31,33.5,12.13,3.36,2
2001,2251,Eric,Chenowith,Eric Chenowith,C,7' 1'',88,111,12.9,23.5,27.5,12.5,3.59,6
2001,2439,Sam,Clancy,Sam Clancy,PF,6' 6.25'',86.75,107,8,31,34,11.47,3.13,15
2001,12036,Gyasi,Cline-Heard,Gyasi Cline-Heard,PF,6' 6.25'',83.5,103,8,31.5,34.5,11.4,3.23,11
2001,2215,Jason,Collins,Jason Collins,PF-C,6' 10.25'',88.5,110,12.9,25.5,28.5,12.1,3.54,8
2001,2260,Jarron,Collins,Jarron Collins,C-PF,6' 9.25'',87,104,15.2,23,29,11.65,3.6,10
2001,2241,Omar,Cook,Omar Cook,PG,5' 11.5'',77.5,92,5.5,31,35.5,10.77,3.2,9
2001,2201,Eddy,Curry,Eddy Curry,C,6' 10.5'',90.5,111,16.5,28,31,12.25,3.53,16
2001,12037,Tate,Decker,Tate Decker,SF,6' 9.25'',83.75,107,13.6,25.5,28.5,12.19,3.47,13
2001,2205,DeSagana,Diop,DeSagana Diop,C,6' 10'',90.5,113,21,21.5,25.5,12.37,3.56,15
2001,12038,Robb,Dryden,Robb Dryden,C,7' 1'',86.5,110.2,8,27,30,12.47,3.46,8
