Arena Name,Seating Capacity,Opening Year,Arena City Name
State Farm Arena,16600,1999,Atlanta
TD Garden,19156,1995,Boston
Barclays Center,17732,2012,Brooklyn
Spectrum Center,19077,2005,Charlotte
United Center,20917,1994,Chicago
Rocket Mortgage Fieldhouse,19432,1994,Cleveland
American Airlines Center,19200,2001,Dallas
Ball Arena,19520,1999,Denver
Little Caesars Arena,20332,2017,Detroit
Chase Center,18064,2019,San Francisco
Toyota Center,18104,2003,Houston
Gainbridge Fieldhouse,17274,1999,Indianapolis
Crypto.com Arena,19079,1999,Los Angeles
FedExForum,17794,2004,Memphis
Kaseya Center,19600,1999,Miami
Fiserv Forum,17385,2018,Milwaukee
Target Center,18798,1990,Minneapolis
Smoothie King Center,17791,1999,New Orleans
Madison Square Garden,19812,1968,New York City
Paycom Center,18203,2002,Oklahoma City
Kia Center,18846,2010,Orlando
Wells Fargo Center,21000,1996,Philadelphia
Footprint Center,17071,1992,Phoenix
Moda Center,19393,1995,Portland
Golden 1 Center,17608,2016,Sacramento
Frost Bank Center,18418,2002,San Antonio
Scotiabank Arena,19800,1999,Toronto
Delta Center,18306,1991,Salt Lake City
Capital One Arena,20356,1997,Washington
