PlayerID,birthdate,school,BirthCountry,weight,seasons played,position,from year,to year,"height (ft""in)",is_active
76001,1968-06-24,Duke,USA,240.0,5,Forward,1990.0,1994.0,"6""10",0
76003,1947-04-16,UCLA,USA,225.0,20,Center,1969.0,1988.0,"7""2",0
1505,1974-11-03,San Jose State,France,235.0,7,Forward-Guard,1997.0,2003.0,"6""6",0
949,1976-12-11,California,USA,245.0,13,Forward,1996.0,2007.0,"6""9",0
76005,1954-05-06,Indiana,USA,220.0,5,Forward,1976.0,1980.0,"6""7",0
76006,1932-07-27,Western Kentucky,USA,180.0,1,Guard,1956.0,1956.0,"6""3",0
76007,1919-02-09,Salem,USA,195.0,2,Forward,1946.0,1947.0,"6""3",0
203518,1993-08-01,FC Barcelona,Spain,200.0,3,Guard,2016.0,2018.0,"6""6",0
1630173,1999-09-19,Memphis,Nigeria,225.0,3,Forward,2020.0,2023.0,"6""8",1
101165,1983-01-21,Pepperdine,USA,185.0,3,Guard,2005.0,2008.0,"6""5",0
76008,1930-09-04,Long Island-Brooklyn,USA,183.0,1,Guard,1953.0,1953.0,"6""0",0
76009,1962-11-15,Oral Roberts,USA,220.0,6,Center,1987.0,1992.0,"6""11",0
76010,1942-01-11,Hillsdale,USA,210.0,1,Forward,1967.0,1967.0,"6""6",0
203112,1990-10-06,Baylor,USA,240.0,7,Forward,2012.0,2018.0,"6""7",0
76011,1954-07-19,Oklahoma,USA,210.0,13,Center,1975.0,1987.0,"6""9",0
76012,1947-11-27,Northwestern,USA,210.0,7,Forward,1970.0,1976.0,"6""7",0
200801,1984-06-20,Arizona,USA,220.0,2,Forward,2006.0,2008.0,"6""4",0
1629121,1996-05-04,St. Bonaventure,USA,225.0,3,Guard,2018.0,2020.0,"6""0",0
203919,1994-07-08,UCLA,USA,209.0,3,Guard,2014.0,2015.0,"6""5",0
149,1963-01-19,Boston College,USA,165.0,11,Guard,1985.0,1995.0,"5""10",0
203500,1993-07-20,Pittsburgh,New Zealand,265.0,10,Center,2013.0,2023.0,"6""11",1
912,1964-07-22,Syracuse,USA,241.0,6,Forward,1986.0,1996.0,"6""8",0
1628389,1997-07-18,Kentucky,USA,255.0,6,Center-Forward,2017.0,2023.0,"6""9",1
1629061,1997-02-01,Louisville,South Sudan,200.0,2,Forward,2018.0,2018.0,"6""7",0
76015,1946-06-16,Loyola-Marymount,USA,175.0,7,Guard,1968.0,1974.0,"6""2",0
202399,1986-02-10,Connecticut,USA,,6,,2010.0,2014.0,,0
201167,1985-10-15,UCLA,USA,210.0,12,Guard,2007.0,2017.0,"6""5",0
1630534,2000-04-20,Kansas,USA,215.0,1,Guard,2022.0,2023.0,"6""5",1
200772,1984-02-09,Michigan State,USA,202.0,4,Forward-Guard,2006.0,2010.0,"6""5",0
76016,1959-12-10,DePaul,USA,232.0,13,Forward,1981.0,1993.0,"6""6",0
201336,1984-05-27,Missouri State,USA,190.0,4,Guard,2007.0,2011.0,"6""2",0
201582,1988-05-06,Hyeres-Toulon,France,248.0,8,Center,2008.0,2017.0,"7""2",0
76018,1944-07-31,Morehead State,USA,225.0,2,Center,1966.0,1967.0,"6""10",0
203006,1986-02-10,California State-Fullerton,USA,185.0,2,Guard,2012.0,2012.0,"5""11",0
1629152,1993-06-05,Illinois State,Trinidad and Tobago,200.0,2,Guard-Forward,2018.0,2018.0,"6""6",0
202374,1988-03-21,Florida State,Nigeria,252.0,3,Center,2010.0,2011.0,"7""1",0
76019,1963-12-11,Duke,USA,217.0,5,Forward,1986.0,1990.0,"6""8",0
76020,1936-10-08,Fresno State,USA,225.0,2,Center,1959.0,1960.0,"6""9",0
1630583,2001-01-10,Loyola-Maryland,Spain,215.0,2,Forward-Center,2021.0,2023.0,"7""0",1
203128,1991-08-09,Galatasaray,Turkey,240.0,2,Forward-Center,2014.0,2014.0,"6""10",0
202332,1988-10-31,Kansas,USA,253.0,9,Center,2010.0,2017.0,"6""11",0
200746,1985-07-19,University of Texas at Austin,USA,250.0,17,Center-Forward,2006.0,2021.0,"6""11",0
1626146,1995-11-16,Kansas,USA,240.0,2,Forward,2015.0,2015.0,"6""8",0
724,1973-06-22,Virginia,USA,190.0,8,Guard,1995.0,2004.0,"6""1",0
201570,1986-12-26,West Virginia,USA,230.0,3,Forward,2008.0,2009.0,"6""8",0
1629734,1996-10-21,Tennessee,Canada,216.0,2,Forward-Center,2019.0,2019.0,"6""10",0
1630234,1998-07-16,Creighton,USA,195.0,2,Guard,2020.0,2020.0,"6""3",0
2349,1969-08-31,Iowa State,USA,265.0,5,Forward,1991.0,2001.0,"6""10",0
1629638,1998-09-02,Virginia Tech,Canada,205.0,4,Guard,2019.0,2023.0,"6""5",1
76024,1964-11-23,Indiana,USA,183.0,4,Guard,1987.0,1990.0,"6""2",0
1628959,1997-10-29,Arizona,USA,225.0,2,Guard,2018.0,2018.0,"6""5",0
76028,1946-07-17,Marshall,USA,205.0,1,Forward,1968.0,1968.0,"6""9",0
1628960,1995-10-08,Duke,USA,198.0,5,Guard,2018.0,2023.0,"6""4",1
1628386,1998-04-21,Texas,USA,243.0,6,Center,2017.0,2023.0,"6""9",1
1628443,1993-01-15,Arizona,USA,200.0,3,Guard,2017.0,2019.0,"6""1",0
202730,1989-02-04,Temple,USA,260.0,7,Forward-Center,2011.0,2016.0,"6""9",0
76027,1947-09-26,UCLA,USA,175.0,10,Guard,1969.0,1978.0,"6""2",0
2124,1978-06-27,Villanova,USA,255.0,11,Forward,2001.0,2010.0,"6""10",0
2754,1982-01-11,Oklahoma State,USA,213.0,14,Guard-Forward,2004.0,2017.0,"6""4",0
76029,1949-10-02,UNLV,USA,195.0,1,Forward,1971.0,1971.0,"6""6",0
200984,1981-02-02,Weber State,USA,250.0,2,Center,2007.0,2007.0,"6""11",0
76030,1958-09-12,UCLA,USA,220.0,1,Forward,1980.0,1980.0,"6""8",0
201165,1985-02-02,Rice,USA,225.0,4,Guard,2007.0,2011.0,"6""6",0
308,1972-08-20,Duquesne,USA,225.0,3,Center,1994.0,1996.0,"6""11",0
1747,1976-07-24,Fresno State,USA,175.0,11,Guard,1999.0,2009.0,"6""2",0
1824,1973-04-26,Liberty,USA,260.0,1,Center,1998.0,1998.0,"6""10",0
1630631,1998-04-12,Georgia Tech,USA,179.0,2,Guard,2021.0,2023.0,"6""0",1
680,1970-11-26,Penn State,United Kingdom,270.0,6,Forward-Center,1995.0,2002.0,"6""10",0
200811,1982-12-07,UNLV,USA,220.0,11,Forward,2006.0,2015.0,"6""9",0
2365,1978-07-07,Blinn J.C.,USA,245.0,15,Forward-Center,2001.0,2016.0,"6""10",0
2431,1980-06-23,FC Barcelona,Australia,,20,,2009.0,2017.0,,0
101187,1982-10-16,Michigan State,USA,220.0,9,Forward-Guard,2005.0,2016.0,"6""6",0
202079,1985-06-05,Memphis,USA,215.0,2,Guard,2009.0,2009.0,"6""6",0
76036,1951-01-01,Southern California,USA,185.0,2,Guard,1974.0,1975.0,"6""2",0
1507,1974-07-18,Kentucky,USA,195.0,12,Guard,1997.0,2007.0,"6""5",0
76037,1960-12-28,Southern California,USA,185.0,1,Guard,1982.0,1982.0,"6""3",0
944,1970-05-26,Indiana,USA,220.0,2,Forward,1992.0,1993.0,"6""9",0
246,1964-06-22,Houston,USA,250.0,10,Center-Forward,1987.0,1997.0,"6""10",0
202341,1989-03-25,Oklahoma State,USA,213.0,6,Guard-Forward,2010.0,2015.0,"6""6",0
76040,1953-10-09,West Virginia,USA,195.0,2,Guard,1975.0,1976.0,"6""5",0
1626147,1993-11-19,Virginia,USA,231.0,7,Forward-Guard,2015.0,2021.0,"6""5",0
72,1970-10-09,Georgia Tech,USA,168.0,14,Guard,1991.0,2004.0,"6""1",0
76041,1955-05-12,Missouri,USA,200.0,1,Forward,1978.0,1978.0,"6""7",0
203937,1993-09-20,UCLA,USA,230.0,9,Forward-Guard,2014.0,2023.0,"6""9",1
76042,1966-03-23,Drexel,USA,184.0,1,Guard,1988.0,1988.0,"5""11",0
76043,1960-09-23,Bradley,USA,195.0,3,Forward,1982.0,1984.0,"6""8",0
98,1968-01-20,Illinois,USA,228.0,14,Forward-Guard,1989.0,2002.0,"6""6",0
76045,1960-11-19,California-Santa Barbara,USA,240.0,6,Forward,1982.0,1989.0,"6""10",0
76046,1958-10-15,Fresno State,USA,215.0,10,Forward,1984.0,1993.0,"6""7",0
201583,1988-05-06,California,USA,240.0,12,Forward,2008.0,2019.0,"6""9",0
1000,1973-12-31,Georgia,USA,215.0,10,Guard-Forward,1996.0,2005.0,"6""6",0
335,1967-01-08,Georgia,USA,200.0,8,Guard-Forward,1988.0,1996.0,"6""8",0
101149,1986-03-12,Zalgiris,Lithuania,240.0,2,Center,2005.0,2006.0,"7""2",0
76049,1930-11-01,Missouri State,USA,190.0,1,Forward,1954.0,1954.0,"6""7",0
