PlayerID,GameID,TeamID,MP,FG,FGA,3P,3PA,FT,FTA,AST,STL
1628369,1,1610612738,30.3,14,18,8,11,1,2,10,1
203076,2,1610612747,37.58,11,23,1,3,13,15,4,1
1628401,1,1610612738,26.63,8,13,6,10,2,2,4,1
201950,1,1610612738,30.52,7,9,4,6,0,0,4,1
1630540,1,1610612752,25.85,8,10,4,5,2,3,2,0
1629060,2,1610612747,35.08,7,14,1,4,3,4,1,2
1627759,1,1610612738,29.9,7,18,5,9,4,4,1,1
203497,2,1610612750,35.33,5,8,0,0,3,4,2,0
203944,2,1610612750,34.32,5,10,1,3,5,7,4,0
201143,1,1610612738,26.08,4,7,3,5,0,0,5,1
1628973,1,1610612752,24.5,9,14,1,2,3,3,2,0
1630162,2,1610612750,41.07,10,25,5,13,2,3,3,0
1626157,1,1610612752,23.62,5,9,1,2,1,1,3,0
1630559,2,1610612747,36.03,6,14,0,5,0,1,4,1
1628404,1,1610612752,24.5,4,6,0,2,4,6,3,0
1629638,2,1610612750,28.37,5,7,3,4,1,2,0,0
2544,2,1610612747,34.65,7,16,1,4,1,1,4,0
1629637,2,1610612747,15.33,4,5,0,0,2,2,0,0
1628969,1,1610612752,34.62,7,13,2,7,0,1,2,0
1626166,1,1610612752,20.72,5,10,1,4,0,0,4,1
1629675,2,1610612750,26.35,3,8,2,4,4,4,1,0
1630579,1,1610612752,24.38,2,3,0,0,0,0,1,0
1628436,1,1610612738,19.32,2,3,0,0,0,0,1,1
1630573,1,1610612738,24.17,4,10,2,7,0,0,1,0
1628978,2,1610612750,31.55,3,11,2,8,2,4,3,2
1626156,2,1610612747,34.22,4,12,1,7,0,0,5,2
1631560,2,1610612747,15.78,2,4,1,3,0,0,2,1
1631497,1,1610612752,34.17,1,7,0,4,2,2,3,1
1630214,1,1610612738,17.7,1,6,0,3,0,0,2,0
1631470,1,1610612752,6.08,0,0,0,0,0,0,0,0
201144,2,1610612750,20.22,1,7,0,5,3,3,2,1
1631623,1,1610612752,13.38,1,3,1,2,0,0,0,0
1630183,2,1610612750,16.0,3,8,0,3,0,0,1,1
1629216,2,1610612747,17.22,1,2,0,0,0,0,2,0
1631605,1,1610612752,5.4,1,2,1,1,0,0,0,0
1631618,1,1610612738,6.08,0,1,0,1,0,0,1,0
204060,2,1610612750,6.8,0,1,0,1,0,0,1,0
1629674,1,1610612738,4.33,0,0,0,0,0,0,0,0
1631555,2,1610612747,2.68,0,2,0,1,0,0,0,0
1631633,1,1610612752,2.78,0,1,0,1,0,0,0,0
1630202,1,1610612738,24.97,1,10,1,9,0,0,4,0
1631108,2,1610612747,11.42,0,3,0,3,2,2,0,0
1630163,8,1610612766,37.92,10,20,4,12,10,10,11,1
1628374,10,1610612762,34.57,9,15,4,7,13,14,2,0
1629027,4,1610612737,36.67,7,16,2,6,14,16,12,1
1631094,5,1610612753,31.2,12,24,4,8,5,6,3,1
1630168,4,1610612737,28.48,11,12,0,0,6,6,1,0
1630596,7,1610612739,26.95,9,14,1,2,6,6,3,2
1630560,4,1610612751,33.72,14,27,7,13,1,1,3,3
1630578,8,1610612745,33.87,10,22,2,3,3,4,5,4
203081,6,1610612749,38.3,9,19,6,12,6,7,6,0
1627742,9,1610612740,31.47,13,23,3,5,4,4,2,2
203507,6,1610612749,31.2,8,11,0,0,9,16,7,0
1627783,3,1610612754,31.97,8,15,1,3,2,3,9,2
1631117,10,1610612762,29.58,6,7,0,0,4,5,1,1
1630532,5,1610612753,23.1,10,16,3,6,0,0,4,2
201939,12,1610612744,25.07,4,10,3,7,6,6,10,2
1630595,3,1610612765,36.53,10,23,2,6,6,6,8,1
1629630,10,1610612763,27.93,7,12,0,2,8,9,10,1
1630583,10,1610612763,31.43,10,16,5,10,2,2,2,0
203078,11,1610612756,38.47,8,12,4,6,4,5,1,1
203468,9,1610612740,29.95,9,19,5,11,0,0,5,1
1627747,7,1610612739,20.63,8,9,2,2,1,2,4,0
1631551,9,1610612741,30.7,8,12,1,2,4,5,1,0
1627741,12,1610612744,14.73,8,12,5,7,1,1,1,0
1628378,7,1610612739,27.67,7,14,2,5,5,7,3,3
1628386,7,1610612739,26.08,5,7,0,0,4,5,1,1
1630544,8,1610612766,28.95,8,16,4,8,4,4,1,0
1631105,3,1610612765,30.07,4,4,0,0,5,6,4,0
1630217,10,1610612763,27.08,8,20,4,10,4,4,4,1
1629660,7,1610612739,18.95,6,7,2,2,0,0,6,2
1627752,6,1610612749,30.38,6,7,4,5,0,0,3,0
1630224,8,1610612745,35.45,9,23,5,15,5,5,0,0
203914,5,1610612753,21.77,6,9,6,9,0,0,1,0
1631585,12,1610612744,24.62,5,5,0,0,4,5,2,1
1626167,3,1610612754,36.05,7,14,3,8,3,3,4,0
1630700,4,1610612737,34.53,6,12,2,4,1,4,2,5
1628449,7,1610612761,19.98,5,9,4,5,4,6,1,1
1626145,11,1610612756,35.08,5,10,1,5,0,0,8,2
201935,11,1610612746,39.87,10,28,2,9,7,9,8,1
204456,3,1610612754,15.8,7,8,0,0,0,0,4,1
1630188,9,1610612741,17.3,5,8,1,3,4,4,0,1
203952,12,1610612744,23.07,8,15,4,7,0,0,2,0
1626179,5,1610612748,32.05,5,15,2,7,7,7,5,0
203897,9,1610612741,36.77,10,17,5,8,2,3,3,0
1627749,9,1610612740,29.98,4,15,0,3,6,7,10,1
200768,6,1610612755,24.2,4,7,3,5,2,4,6,0
1631093,3,1610612765,30.6,5,13,0,2,7,9,4,1
203903,10,1610612762,25.1,7,16,2,5,1,2,7,0
1631653,9,1610612740,22.77,5,8,0,0,2,2,1,1
1627826,11,1610612746,33.82,8,13,0,0,5,8,3,0
1630643,10,1610612763,22.45,4,6,3,5,2,2,1,0
1631097,3,1610612754,27.68,5,8,2,3,7,9,1,0
1631592,12,1610612757,27.9,7,18,0,5,8,9,4,0
201142,11,1610612756,43.67,8,17,2,5,7,9,0,3
1629750,9,1610612740,25.22,3,3,0,0,3,4,1,4
1626171,6,1610612749,25.85,7,10,1,1,1,1,3,2
1630166,12,1610612757,27.48,4,10,0,3,7,8,2,2
1631613,10,1610612762,28.53,4,7,3,5,1,2,0,2
1631643,7,1610612761,29.27,5,13,2,6,4,4,1,0
1630591,5,1610612753,12.53,3,4,1,2,4,4,4,1
1631659,4,1610612751,33.97,3,7,2,5,8,8,1,0
1631594,5,1610612753,26.62,3,7,1,2,1,2,2,2
1629599,11,1610612746,25.82,4,4,2,2,1,2,1,1
