OrganizationID,OrganizationName,OrganizationType
1,Texas-El Paso,College/University
2,Wisconsin,College/University
3,Purdue,College/University
4,Connecticut,College/University
5,Long Island-Brooklyn,College/University
6,Pennsylvania,College/University
7,Ohio State,College/University
8,Santa Clara,College/University
9,Vermont,College/University
10,Oregon,College/University
11,St. Mary's (MD),College/University
12,San Francisco,College/University
13,Toledo,College/University
14,West Virginia,College/University
15,High Point,College/University
16,Houston,College/University
17,Penn State,College/University
18,Northwestern,College/University
19,Minnesota,College/University
20,DePaul,College/University
21,Oregon State,College/University
22,Harvard,College/University
23,Utah,College/University
24,Akron,College/University
25,Kentucky,College/University
26,Illinois,College/University
27,Stanford,College/University
28,New York University,College/University
29,Denver,College/University
30,William & Mary,College/University
31,Rhode Island,College/University
32,Truman State,College/University
33,Georgia Tech,College/University
34,Iowa,College/University
35,Springfield,College/University
36,George Washington,College/University
37,Notre Dame,College/University
38,Washington,College/University
39,West Texas A&M,College/University
40,Kansas State,College/University
41,Kansas,College/University
42,Texas Tech,College/University
43,St. Mary's (CA),College/University
44,Saint Louis,College/University
45,Findlay,College/University
46,Southern Methodist,College/University
47,Saint Joseph's,College/University
48,York (PA),College/University
49,Duke,College/University
50,Washington & Jefferson,College/University
51,St. Thomas (MN),College/University
52,Bates,College/University
53,Hofstra,College/University
54,Louisville,College/University
55,Oklahoma State,College/University
56,Wyoming,College/University
57,Temple,College/University
58,Marshall,College/University
59,Arkansas,College/University
60,Columbia,College/University
61,Cornell,College/University
62,Indiana,College/University
63,California,College/University
64,Seton Hall,College/University
65,Western Kentucky,College/University
66,Gustavus Adolphus,College/University
67,Southern Illinois,College/University
68,Louisiana State,College/University
69,Tulane,College/University
70,Niagara,College/University
71,Canisius,College/University
72,Syracuse,College/University
73,Idaho,College/University
74,Sam Houston State,College/University
75,Beloit,College/University
76,North Carolina,College/University
77,Texas Wesleyan,College/University
78,City College of New York,College/University
79,Eastern Kentucky,College/University
80,Southern California,College/University
81,Tennessee,College/University
82,North Carolina State,College/University
83,Georgetown,College/University
84,Rider,College/University
85,Bowling Green,College/University
86,Texas A&M-Commerce,College/University
87,DePauw,College/University
88,Fordham,College/University
89,Marquette,College/University
90,Ohio,College/University
91,Brigham Young,College/University
92,Rice,College/University
93,Holy Cross,College/University
94,Colgate,College/University
95,Iowa State,College/University
96,Loras,College/University
97,Murray State,College/University
98,Wheaton (IL),College/University
99,Siena,College/University
100,East Central,College/University
101,California-Los Angeles,College/University
102,Maryland,College/University
103,Pepperdine,College/University
104,Kansas Wesleyan,College/University
105,Trinity (TX),College/University
106,Arizona State,College/University
107,Drake,College/University
108,Dickinson,College/University
109,Washington (MO),College/University
110,San Jose State,College/University
111,Missouri,College/University
112,Louisiana Tech,College/University
113,Occidental,College/University
114,Newberry,College/University
115,Wittenberg,College/University
116,Arkansas State,College/University
117,Lebanon Valley,College/University
118,Washington State,College/University
119,American International,College/University
120,Moravian,College/University
121,Arizona,College/University
122,Humboldt State,College/University
123,Yale,College/University
124,St. John's (NY),College/University
125,Loyola-Chicago,College/University
126,Nebraska,College/University
127,Northwestern Oklahoma State,College/University
128,Missouri State,College/University
129,Loyola-Maryland,College/University
130,Baylor,College/University
131,St. Francis Brooklyn,College/University
132,Xavier,College/University
133,Kenyon,College/University
134,Lafayette,College/University
135,Butler,College/University
136,Indiana State,College/University
137,Michigan,College/University
138,Dartmouth,College/University
139,Muhlenberg,College/University
140,Hamline,College/University
141,Western Michigan,College/University
142,Denver Junior College,College/University
143,Colby,College/University
144,Missouri Valley,College/University
145,Emporia State,College/University
146,Oklahoma,College/University
147,Alabama,College/University
148,Florida,College/University
149,La Salle,College/University
150,Texas Christian,College/University
151,Morehead State,College/University
152,John Carroll,College/University
153,Southwestern (KS),College/University
154,Swarthmore,College/University
155,Wisconsin-River Falls,College/University
156,Kent State,College/University
157,Valparaiso,College/University
158,Bradley,College/University
159,Georgia,College/University
160,Mercer,College/University
161,Charleston (WV),College/University
162,West Virginia State,College/University
163,Duquesne,College/University
164,Northwest Missouri State,College/University
165,Vanderbilt,College/University
166,Brown,College/University
167,St. Bonaventure,College/University
168,Villanova,College/University
169,Montana,College/University
170,San Diego State,College/University
171,Appalachian State,College/University
172,Rutgers,College/University
173,Princeton,High School
174,Cincinnati,College/University
175,Virginia,College/University
176,Northwestern State,College/University
177,Colorado State,College/University
178,Millikin,College/University
179,Le Moyne,College/University
180,Central Missouri,College/University
181,South Carolina,College/University
182,Mississippi State,College/University
183,Evansville,College/University
184,Ohio Wesleyan,College/University
185,American,College/University
186,St. Peter's,College/University
187,Indianapolis,College/University
188,Arkansas Tech,College/University
189,King's (NY),College/University
190,Colorado,College/University
191,Ithaca,College/University
192,Texas A&M,College/University
193,Whitworth,College/University
194,Union (TN),College/University
195,Memphis,College/University
196,Florida State,College/University
197,Washington & Lee,College/University
198,Michigan State,College/University
199,New Mexico State,College/University
200,Utah State,College/University
201,Lawrence Tech,College/University
202,Baldwin Wallace,College/University
203,Clemson,College/University
204,New Mexico,College/University
205,Huron,College/University
206,Dayton,College/University
207,Maryland-Eastern Shore,College/University
208,Texas State,College/University
209,Spring Hill,College/University
210,Youngstown State,College/University
211,Oklahoma City,College/University
212,McDaniel,College/University
213,West Liberty,College/University
214,Southern Mississippi,College/University
215,Eastern Illinois,College/University
216,Centenary (LA),College/University
217,Wofford,College/University
218,Tulsa,College/University
219,Manhattan,College/University
220,Miami (FL),College/University
221,Loyola-Marymount,College/University
222,Regis (CO),College/University
223,Seattle,College/University
224,Iona,College/University
225,Detroit Mercy,College/University
226,North Dakota,College/University
227,Furman,College/University
228,St. Anselm,College/University
229,West Virginia Tech,College/University
230,Clarion,College/University
231,Cornell College,College/University
232,Fairleigh Dickinson,College/University
233,Benedictine (KS),College/University
234,Navy,College/University
235,Pittsburgh,College/University
236,Brandeis,College/University
237,Franklin & Marshall,College/University
238,East Carolina,College/University
239,Point Loma Nazarene,College/University
240,Concord,College/University
241,Lycoming,College/University
242,Polytechnic (NY),College/University
243,Boston College,College/University
244,Taylor (IN),College/University
245,Hastings,College/University
246,Massachusetts Dartmouth,College/University
247,Idaho State,College/University
248,Georgia Southern,College/University
249,Cal State-Los Angeles,College/University
250,Grambling,College/University
251,North Carolina Central,College/University
252,Midwestern State,College/University
253,McNeese State,College/University
254,Rio Grande,College/University
255,Tennessee Tech,College/University
256,Wichita State,College/University
257,Boston University,College/University
258,Mount St. Mary's,College/University
259,Southeastern Oklahoma State,College/University
260,Western Illinois,College/University
261,Wayne State (MI),College/University
262,Lenoir-Rhyne,College/University
263,Texas,College/University
264,Saint Michael's,College/University
265,Kentucky Wesleyan,College/University
266,Kentucky State,College/University
267,Texas Southern,College/University
268,North Dakota State,College/University
269,Mississippi,College/University
270,Dakota Wesleyan,College/University
271,Macalester,College/University
272,New York Tech,College/University
273,Florida Southern,College/University
274,Franciscan,College/University
275,Saint Francis (PA),College/University
276,Rockhurst,College/University
277,Thomas More,College/University
278,Loyola (LA),College/University
279,Coe,College/University
280,Alabama State,College/University
281,Tennessee State,College/University
282,Fresno State,College/University
283,Scranton,College/University
284,Georgetown (KY),College/University
